Seed,School
1,Gonzaga
1,Arizona
1,Kansas
1,Baylor
2,Duke
2,Kentucky
2,Auburn 
2,Villanova
3,Tennessee
3,Texas Tech
3,Purdue
3,Wisconsin
4,Illinois
4,Arkansas
4,UCLA
4,Providence
5,Iowa
5,Saint Mary's
5,UConn
5,Houston
6,Colorado St.
6,Texas
6,Alabama
6,LSU
7,Ohio St.
7,Michigan St.
7,Murray St.
7,USC
8,North Carolina
8,San Diego St.
8,Boise St.
8,Seton Hall
9,TCU
9,Memphis
9,Marquette
9,Creighton
10,Miami
10,San Francisco
10,Davidson
10,Loyola Chicago
11,Michigan
11,Notre Dame
11,Virginia Tech
11,Iowa St.
12,Richmond
12,Indiana
12,New Mexico St.
12,UAB
13,Chattanooga
13,Vermont 
13,Akron
13,South Dakota St.
14,Colgate
14,Yale
14,Montana St.
14,Longwood
15,Delaware
15,CSU Fullerton
15,Saint Peter's
15,Jacksonville St.
16,Texas Southern
16,Norfolk St.
16,Georgia St.
16,Wright St.
